QP;LIB_QP;LIST_COMARR_2020;Pop_2013
QP059077;Les Oliveaux;59360;3445
QP059078;Clémenceau-Kiener;59360;1328
QP059079;La Briquetterie;59378;1350
QP059080;Nouveau Mons - Les Sarts- Dombrowski;590095935059410;10603
QP059081;Comtesse De Ségur;59507;1861
QP059082;Quartier Intercommunal Roubaix-Tourcoing - Blanc Seau - Croix Bas Saint Pierre;59163595125959959650;69303
QP059083;Nouveau Roubaix;59512;2132
QP059084;La Mouchonnière;59560;1608
QP059085;Phalempins;59599;4037
QP059086;Virolois;59599;4204
QP059087;La Bourgogne;59599;6836
QP059088;Pont Rompu;59599;1435
QP059089;Blanc Riez;59648;4385
QP059090;Epidéme Villas Couteaux;5959959650;5249
QP059091;Centralité De Beaulieu;59650;3310
QP060001;Les Hauts De Creil;60175;19538
QP060002;Les Martinets;60414;3719
QP060003;Les Côteaux;60463;2349
QP060004;Les Rochers L'Obier;60463;2828
QP060005;Belle Vue Belle Visée;60684;2137
QP060006;Vivier Corax;60159;2670
QP060007;Clos Des Roses;60159;3059
QP060008;La Victoire;60159;3083
QP060009;Saint Jean;60057;4753
QP060010;Saint Lucien;60057;2703
QP060011;Argentine;60057;8913
QP060012;Les Terriers;60509;1229
QP060013;Quartier De La Nacre;60395;3089
QP060014;Les Sables;60157;1118
QP060015;Liancourt Les Abords Du Parc;60360;1285
QP060016;Quartier Kennedy;60176;1988
QP060017;Beauséjour;60471;1559
QP060018;Mont Siméon;60471;1315
QP061001;Les Provinces;61006;1382
QP061002;Saint Michel - Vallée D'Auge;61006;2626
QP061003;Saint Michel;61169;1047
QP061004;Saint Sauveur;61169;1984
QP061005;La Madeleine;61214;1233
QP061006;Perseigne;61001;4245
QP061007;Courteille;61001;2113
QP062001;Quartier Du Mieux-Etre;62560;1088
QP062002;Camus;62032;1256
QP062003;Plantigeons - Fosse 4;62215;1588
QP062004;Centre Ville;62048;2413
QP062005;Quartier Des Cité 5 - Cité De Marles - Cité Du Rond-Point;620486219462555;2365
QP062006;Quartier Rimbert;6204862188;994
QP062007;Quartier Du Regain;6208362443;2396
QP062008;Quartier Du Mont Liébaut;62119;3083
QP062009;Quartier De La Rue De Lille;6211962848;3347
QP062010;Renaissance;6212662480;1179
QP062011;Le Centre;6217862400;5210
QP062012;Terrasses Basly;62178;1889
QP062013;Quartier Coteau Du Stade Parc-Cité 34;6217862270;1496
QP062014;Quartier Des Cités 6 Et 30;6219462270;1689
QP062015;Quartier Provinces - Longues Trinques;6204862217;1213
QP062016;Quartier Saint-Elie - Fosse 13;622766240162464;1332
QP062017;Le Haut D'Houdain;6240062457;2727
QP062018;Terre-Noeve;62617;1729
QP062019;République - Cité 4;62065;4765
QP062020;Cité Des Brebis;6218662563;2318
QP062021;Cité Du Transvaal - Centre;6213362351;1850
QP062022;Cité 5 - Cité 11;6238662528;3847
QP062023;Cité Bellevue;62413;2316
QP062024;Cité 12-14;62498;2215
QP062025;Grande Résidence;624986252362842;4803
QP062026;Cité 2;62498;1497
QP062027;Sellier Cité 4;6229162498;1497
QP062028;Calonne - Marichelles - Vent De Bise;62510;7071
QP062029;Les Hauts De Liévin - Résidence Des Provinces - Cités 9-9bis;624986251062528;4819
QP062030;Blum - Salengro - 109;62510;2275
QP062031;3 Cités;62563;1232
QP062032;Cité 10;62737;1610
QP062033;Les Blanches Laines Fosse 11 12 13;6206562771;4072
QP062034;Quartier du 3/15;6257062771;1438
QP062035;Cité Des Taberneaux;62895;2301
QP062036;Saint-Exupéry - Léon Blum;620406252562765;2896
QP062037;Quai Du commerce - Saint Sépulcre;62765;1776
QP062038;Du Village Au Moulin;62249;1134
QP062039;Rotois - Saint Roch;62250;1092
QP062040;Cornuault;5945262321;1670
QP062041;Macé - Darcy;62427;1936
QP062042;Ponchelet - Kennedy;62427;1049
QP062043;La Plaine Du 7;622506235162587;1898
QP062044;Zac Des Deux Villes;6242762587;2183
QP062045;Quartier Du Maroc - La Canche;6257062724;2466
QP062046;Nouméa;62724;1231
QP062047;Languedoc - Cité 10;6213362724;1418
QP062048;Quartier De La Haute Voie;62907;1915
QP062049;Damrémont;62160;1487
QP062050;Centre Ville;62160;1423
QP062051;Chemin Vert - Beaurepaire - Malborough;6216062758;8046
QP062052;Henriville - Montplaisir;6216062667;1455
QP062053;Quartier Tour Du Renard;62643;1227
QP062054;Quartier Des Résidences;62667;2584
QP062055;Fort Nieulay - Cailloux - Saint-Pierre;62193;5477
QP062056;Beau Marais;62193;8555
QP062057;Ville Centre;62516;2693
QP062058;Centre Historique;62014;1849
QP062059;Quartier De La Renaissance;62318;1207
QP062060;Quatre As;62004;1088
QP062061;Arras Ouest;62041;7023
QP062062;Saint Michel Goudemand;62041;1259
QP062063;Cheminots Jean Jaurès Moulin Hacart;6200462041;1499
QP062064;Nouvelles Résidences;6275362764;2193
QP063001;Molles Cizolles;63430;1033
QP063002;Saint-Jacques;63113;3413
QP063003;Quartiers Nord;63113;7596
QP063004;La Gauthière;63113;4382
QP063005;Fontaine Du Bac;63113;1928
QP063006;Cournon D'Auvergne;63124;1560
QP063007;Centre Ancien;63430;1604
QP064001;Maubec - Citadelle;64102;1649
QP064002;Hauts De Sainte Croix;64102;3803
QP064003;Saragosse;64445;4102
QP064004;Ousse Des Bois;64445;2057
QP065001;Tarbes Ouest;65440;1516
QP065002;Tarbes Nord;65440;2357
QP065003;Tarbes Est;6541765440;3316
QP065004;Ophite;65286;1165
QP066001;Centre Ville;66065;1226
QP066002;Quartier Saint Assiscle;66136;2630
QP066003;Quartier Gare;66136;3430
QP066004;Quartier Bas-Vernet Ancien Zus;66136;2828
QP066005;Diagonale Du Haut - Moyen-Vernet;66136;5101
QP066006;Rois De Majorque;66136;1581
QP066007;Bas-Vernet Nouveau QPV;66136;2854
QP066008;Quartier Centre Ancien;66136;11358
QP066009;Quartier Nouveau Logis;66136;994
QP066010;Quartier Champs De Mars;66136;1609
QP067001;Quartier Liberté;67046;1464
QP067002;Les Pins - Musau;67180;1251
QP067003;Saverne - Quartiers Est;67437;1426
QP067004;Quartiers Ouest;6704367447;5957
QP067005;Guirbaden;67043;1691
QP067006;Libermann;67218;2327
QP067007;Quartier Prioritaire De Lingolsheim;67267;2701
QP067008;Marais;67447;1934
QP067009;Hohberg;67482;2937
QP067010;Molkenbronn;67482;1875
QP067011;Hautepierre;67482;12869
QP067012;Koenigshoffen-Est;67482;2251
QP067013;Cronenbourg;67482;7991
QP067014;Elsau;67482;5014
QP067015;Laiterie;67482;2949
QP067016;Neuhof - Meinau;67482;16800
QP067017;Cité De L'Ill;67482;4199
QP067018;Spach;67482;2493
QP067019;Ampère;67482;1259
QP067020;Port Du Rhin;67482;1461
QP067021;Murhof;67482;2401
QP068001;Florimont - Bel Air;68066;1901
QP068002;Europe - Schweitzer;68066;10191
QP068003;Quartier Les Coteaux;68224;8111
QP068004;Quartier De Bourtzwiller;68224;4419
QP068005;Péricentre;68224;34043
QP068006;Drouot - Jonquilles;6815468224;4674
QP068007;Quartier Brustlein;68224;1263
QP068008;Markstein - La Forêt;68376;1893
QP068009;Quartier De La Gare;68297;1889
QP068010;Quartier Bel Air;68063;1139
QP069001;Périmètre Nord De Ville;69243;1782
QP069002;Monod;69266;2283
QP069003;La Source;69143;985
QP069004;Centre;69091;3129
QP069005;Les Pérouses;69027;810
QP069006;Le Garet;69264;1201
QP069007;Béligny;69264;4066
QP069008;Belleroche;690926911569264;4923
QP069009;Aiguerande;69019;1517
QP069010;Parilly;69029;4759
QP069011;Terraillon - Chenier;6902969256;6686
QP069012;Les Vernes;69091;3285
QP069013;La Saulaie;6914269149;1336
QP069014;Hautes Roches;69152;2408
QP069015;Minguettes - Clochettes;6919969259;21966
QP069016;Arsenal - Carnot-Parmentier;69199;5976
QP069017;Les Collonges;69204;1372
QP069018;Grande Île;69256;20491
QP069019;Sud;69256;2241
QP069020;Duclos - Barel;69259;2224
QP069021;Les Buers Sud;69266;917
QP069022;Bel Air - Les Brosses;69266;5000
QP069023;Saint-Jean;69266;2193
QP069024;Les Buers Nord;69266;1712
QP069025;Tonkin;69266;2092
QP069026;Prainet;69275;2265
QP069027;Le Mathiolan;69282;1605
QP069028;Ville Nouvelle;69286;15721
QP069029;Bellevue;69290;1541
QP069030;Garibaldi;69290;1070
QP069031;Bel Air;69290;5773
QP069032;Soeurs Janin;69385;1275
QP069033;Cités Sociales Gerland;69387;1347
QP069034;Moulin A Vent;69388;1409
QP069035;Etats-Unis - Langlet Santy;6925969388;15236
QP069036;Mermoz;69388;2801
QP069037;Duchère;69389;7585
QP069038;Loucheur - Gorge De Loup;69389;1965
QP069039;Les Plaines;69091;1689
QP069040;Vallon;69096;1035
QP069041;Le Vergoin;69389;1225
QP069042;Moncey;69383;1987
QP069043;Les Plantées;69282;1350
QP070001;Rêpes - Montmarin;70550;2971
QP070002;Le Mortard;70310;1378
QP070003;Stade Messier;70311;1210
QP070004;Les Chenevières;70285;1171
QP070005;Les Capucins;70279;890
QP071001;Aubépins;71076;2994
QP071002;Stade - Fontaine au Loup;71076;1109
QP071003;Prés Saint-Jean;71076;5955
QP071004;La Chanaye - Résidence;71270;1904
QP071005;Les Blanchettes;71270;2376
QP071006;Les Saugeraies;71270;2057
QP071007;Marbé;71270;1382
QP071008;Saint Pantaléon;71014;1265
QP071009;Le Tennis;71153;1323
QP071010;Harfleur - République - Lapérouse;71153;1029
QP071011;Rives Du Plessis;71306;1509
QP071012;Bois Du Verne;71306;1059
QP071013;Résidence Du Lac;71540;1256
QP072001;La Rocade;72264;1323
QP072002;Chaoué Perrières;72003;5407
QP072003;Bellevue Carnac;7209572181;4264
QP072004;Ronceray Glonnières Vauguyon;72181;6000
QP072005;Les Sablons;72181;9714
QP072006;L' Epine;72181;880
QP072007;Montreux;72264;1202
QP073001;Biollay - Bellevue;73065;3578
QP073002;Les Hauts De Chambéry;73065;6270
QP073003;Marlioz;73008;1163
QP073004;Val De Roses - Contamine;73011;1170
QP074001;Le Perrier - Château Rouge - Livron;74012;3726
QP074002;Le Chalet - Helvetia Park;74133;1635
QP074003;Les Ewües;74081;1168
QP074004;Collonges Sainte-Hélène;74281;1628
QP074005;Saint Georges - Route De Thairy;74243;1097
QP074006;Bois Jolivet - Les Iles - Bellerive;74042;2245
QP075001;Bédier - Boutroux;75113;2127
QP075002;Chaufourniers;75119;2119
QP075003;Villa d'Este;75113;2431
QP075004;Kellermann - Paul Bourget;75113;2371
QP075005;Jeanne D'Arc - Clisson;75113;781
QP075006;Oudiné - Chevaleret;75113;1504
QP075007;Didot - Porte de Vanves;75114;3697
QP075008;Porte De Saint-Ouen - Porte Pouchet;75117;3664
QP075009;Blémont;75118;2346
QP075010;Porte Montmartre - Porte Des Poissonniers - Moskova;75118;14152
QP075011;La Chapelle - Evangile;75118;7447
QP075012;Goutte D'Or;75118;13232
QP075013;Porte De La Chapelle - Charles Hermite;7511875119;5120
QP075014;Stalingrad Riquet;75119;14197
QP075015;Michelet - Alphonse Karr - Rue de Nantes;7511875119;13253
QP075016;Danube - Solidarité - Marseillaise;75119;7799
QP075017;Algérie;75119;1369
QP075018;Compans - Pelleport;7511975120;1146
QP075019;Les Portes Du Vingtième;75120;19541
QP075020;Grand Belleville 10ème - 11ème - 20ème;751107511175120;28021
QP076001;Val Druel;76217;1020
QP076002;Neuville;76217;3241
QP076003;Les Bruyères;76217;1809
QP076004;Centre Ville;76305;1998
QP076005;Mont Gaillard;76351;9038
QP076006;Centre Ancien - Quartiers Sud;76351;9221
QP076007;Bois-De-Bléville;76351;1915
QP076008;Bléville Nord;76351;1841
QP076009;Bléville Sud;76351;2628
QP076010;Caucriauville Soquence;76351;16493
QP076011;Plateau;76157;5089
QP076012;Quartier Des Arts Et Des Fleurs - Feugrais;7617876561;2749
QP076013;Parc Du Robec;76212;1883
QP076014;Centre Ville;76231;6573
QP076015;Les Bouttières;76319;1063
QP076016;Diderot - Les Mesliers;76319;1099
QP076017;Quartier De Binche;76410;1407
QP076018;Le Quartier Jean Moulin;76474;1247
QP076019;Oissel Sur Seine Nord;76484;1880
QP076020;Quartier De La Piscine;76498;3003
QP076021;Grammont;76540;1981
QP076022;Les Hauts De Rouen;7609576540;10314
QP076023;Quartier Château Blanc;76575;4779
QP076024;Quartier Thorez - Grimau;76575;1140
QP076025;Quartier Hartmann - La Houssière;76575;1333
QP076026;Buisson - Gallouen;7657576681;2241
QP076027;Lalizel;76057;747
QP076028;Parc Du Ramponneau;76259;2912
QP077001;La Renardière;77390;1818
QP077002;La Grande Prairie;77108;1803
QP077003;Schweitzer - Laennec;77108;996
QP077004;Orly Parc;77243;1689
QP077005;Les Deux Parcs-Luzard;7708377337;3238
QP077006;L'Arche Guedon;77468;2677
QP077007;Le Mail;77468;3848
QP077008;La Plaine De Lys - Bernard De Poret;77152;8064
QP077009;Les Courtilleraie - Le Circé;77285;6217
QP077010;Plateau De Corbeil - Plein-ciel;7728577288;8590
QP077011;Les Mezereaux;77288;2752
QP077012;L'Almont;77288;5283
QP077013;Beauval Dunant;77284;14683
QP077014;Surville;77305;5824
QP077015;Les Fougères;77014;1617
QP077016;Résidence Montmirail;77183;1203
QP077017;Champbenoist;77379;2944
QP077018;Anne Franck;77350;2034
QP077019;Les Templiers;77131;2789
QP077020;Mont Saint Martin;77333;3056
QP077021;Quartier République Vilvaudé;77514;2015
QP077022;Lugny Maronniers - Résidence Du Parc;77296;3867
QP077023;Centre Ville -  Quartier De L'Europe;77445;3033
QP077024;Droits De L'Homme;77445;1022
QP078001;Val Fourré;78361;21352
QP078002;Merisiers Plaisances;78362;2515
QP078003;Domaine De La Vallée;78362;1194
QP078004;Petits Prés  Sept Mares;78208;2985
QP078005;Pont Du Routoir 2;78297;3257
QP078006;Merisiers-Plaine De Neauphle;78621;17281
QP078007;Jean Macé;78621;2136
QP078008;Bois De L'Etang;78644;3918
QP078009;Oiseaux;78123;1606
QP078010;Fleurs;78123;2892
QP078011;Noe-Feucherets;78138;5723
QP078012;Cité Du Parc;78643;2472
QP078013;Centre-Sud;78335;3503
QP078014;Alouettes;78124;1906
QP078015;Plateau;78586;8697
QP078016;Vieux Pays;78586;710
QP078017;Valibout;78490;3279
QP078018;Friches;78383;1646
QP078019;Beauregard;78498;5594
QP078020;Saint Exupéry;78498;1750
QP078021;Cinq Quartiers;78440;10629
QP078022;Cité Renault - Centre Ville;78440;1940
QP079001;Clou Bouchet;79191;2791
QP079002;Tour Chabot Gavacherie;79191;1320
QP079003;Pontreau Colline Saint André;79191;1731
QP079004;Les Capucins;79329;978
QP079005;Valette;79049;1067
QP080001;Étouvie;80021;7061
QP080002;Pierre Rollin;80021;2492
QP080003;Amiens Nord;80021;15846
QP080004;Marcel Paul Salamandre;80021;1199
QP080005;Condorcet Philéas Lebesgue;80021;2879
QP080006;Les Parcheminiers;80021;1823
QP080007;Soleil Levant;80001;1957
QP080008;L'Espérance;80001;3664
QP080009;Les Argillières;80001;1071
QP081001;La Falgalarié;81021;1283
QP081002;Laden Petit Train;81065;1254
QP081003;Lameilhé;81065;1298
QP081004;Aillot Bisséous Lardaillé;81065;2116
QP081005;Centre Ville;81065;1649
QP081006;Cantepau;81004;2106
QP081007;Veyrières Rayssac;81004;1782
QP081008;Lapanouse;81004;1244
QP081009;Rajol - Cérou - Gourgatieux - Bouloc - Verrerie;81060;1877
QP081010;Lentajou - Catalanis;81099;1173
QP081011;Crins - En Gach;81105;2701
QP082001;Coeur de Ville;82121;3551
QP082002;Médiathèque - Chambord;82121;3802
QP082003;Centre Ville;82112;2470
QP082004;Sarlac;82112;1202
QP083001;L'Agachon;83061;947
QP083002;Centre Ville;83050;4408
QP083003;Les Collettes;83050;2524
QP083004;Centre Ville;83086;1541
QP083005;Romain Rolland;83062;1467
QP083006;Centre Ville;83069;2034
QP083007;Val Des Rougières;83069;2361
QP083008;Berthe;83126;9334
QP083009;Centre Ville;83126;3080
QP083010;La Beaucaire;83137;4016
QP083011;La Florane;83137;2109
QP083012;Pontcarral;83137;1301
QP083013;Pont Du Las- Rodeilhac;83137;3015
QP083014;Beaulieu- Sainte Marie;83137;1135
QP083015;Sainte Musse;83137;1850
QP083016;Centre Ville;83137;8632
QP083017;Le Jonquet- La Baume- Le Guynemer;83137;1811
QP083018;La Gabelle;83061;2786
QP083019;Centre Ville - Le Vergeiras;83073;1823
QP083020;Centre Ville;83023;2002
QP083021;Le Carami;83023;1647
QP084001;Quartiers Griffons Et Centre Ville;84129;1590
QP084002;Monclar Champfleury Rocade Sud Barbière Croix Des Oiseaux;84007;17186
QP084003;Quartiers Nord Est;84007;4612
QP084004;Quartier De Saint Chamand;84007;2813
QP084005;Quartiers Camp Rambaud - Les Mérides;84092;741
QP084006;Quartiers Joffre Et Centre Ville;84092;2962
QP084007;Quartiers Centre Ancien Et Sud Ouest;84089;1642
QP084008;Centre Ville;84031;2990
QP084009;Amandier - Eléphants;84031;1871
QP084010;Pous Du Plan;84031;1142
QP084011;Quintine - Villemarie - Ubac - Le Parc;84031;1412
QP084012;Fourchevieilles Comtadines L'Aygues;84087;4362
QP084013;Quartiers Nogent Saint Clément;84087;1130
QP084014;Quartiers Générat Establet;84129;1434
QP084015;Quartier De Chaffunes;84129;1248
QP084016;Quartiers Du Vieux Moulin Aux Mûriers;84080;1536
QP084017;Centre Ancien Et Quartier De Saint Michel;84003;3307
QP084018;Quartiers Nord - Ouest;84054;1140
QP084019;Centre ancien - Les Tours - La Gaillarde - Mistral - Sévigné;84138;1783
QP084020;Quartiers Dr Ayme Condamines Barillon Saint Martin Bon Puits Saint Gilles Ratacans;84035;5069
QP084021;Quartiers La Clède Gare Route De Pertuis Saint Anne;84035;1100
QP084022;Nord Du Centre Ancien Giono Ouest;84019;2449
QP085001;Jean Yole - Pyramides;85191;2545
QP085002;Vigne-aux-Roses;85191;1167
QP085003;Liberté - Zola;85191;1463
QP085004;Centre - Moulins Liots;85092;1634
QP086001;Lac Renardières Ozon;86066;4270
QP086002;Châteauneuf Centre Ville;86066;2599
QP086003;Bel Air;86194;1157
QP086004;Trois Cités;8619486214;4149
QP086005;Couronneries;8604186194;9120
QP086006;Beaulieu;86194;1934
QP087001;Portes Ferrées;87085;1261
QP087002;La Bastide;87085;3699
QP087003;Le Sablard;87085;1516
QP087004;Beaubreuil;87085;5640
QP087005;Val De L'Aurence Sud;87085;4008
QP087006;Val De L'Aurence Nord;87085;3949
QP087007;Les Coutures;87085;1679
QP087008;Bellevue;87085;2328
QP087009;Le Vigenal;87085;1434
QP088001;Bitola;88160;1248
QP088002;La Justice;88160;3712
QP088003;Le Haut Du Gras;88209;1165
QP088004;Le Rhumont;88383;1336
QP088005;Saint Roch - L'Orme;88413;2949
QP088006;Kellermann;88413;2686
QP089001;La Rive Droite;89024;1663
QP089002;Les Brichères - Sainte Geneviève;89024;3602
QP089003;Les Rosoirs;89024;1011
QP089004;Pompidou-Ravel;89257;970
QP089005;La Madeleine;89206;2060
QP089006;Arènes - Champs Plaisants;89387;5636
QP089007;Les Chaillots;89387;1245
QP090001;Bougenel - Mulhouse;90010;1655
QP090002;Les Glacis Du Château;90010;2430
QP090003;Dardel La Méchelle;90010;1900
QP090004;Résidences Le Mont;9000890010;10048
QP090005;Arsot Ganghoffer;9007590099;1107
QP091001;Le Bois Des Roches;91570;916
QP091002;Les Tarterêts;91174;5662
QP091003;Montconseil;91174;6134
QP091004;La Nacelle;91174;1478
QP091005;Rive Droite;9117491553;1072
QP091006;Quartier Ouest;91692;5402
QP091007;Les Ardrets;91103;1460
QP091008;Les Aunettes;91235;1087
QP091009;La Grange Aux Cerfs;91549;1211
QP091010;Les Aunettes;91549;6059
QP091011;Les Hautes Mardelles;91114;2722
QP091012;Plaine - Cinéastes;91215;6575
QP091013;Le Vieillet;91514;1523
QP091014;Bel Air - Rocade;91345;2573
QP091015;Bièvre Poterne - Zola;91377;2681
QP091016;Le Canal;91228;5182
QP091017;Pyramides - Bois Sauvage;91228;12722
QP091018;Les Aunettes;91228;2713
QP091019;Champtier Du Coq;91228;3286
QP091020;Petit Bourg;91228;1568
QP091021;Le Parc Aux Lièvres;91228;2272
QP091022;Les Passages;91228;1641
QP091023;Les Epinettes;91228;2401
QP091024;Champs Elysées;91228;1459
QP091025;Le Plateau;91521;5166
QP091026;La Grande Borne - Le Plateau;9128691687;16369
QP091027;Grigny 2;91286;13198
QP091028;Le Noyer Renard;91027;3820
QP091029;Clos Nollet;91027;1370
QP091030;Grand Vaux;91589;4670
QP091031;Les Bergeries;9120191657;2957
QP091032;La Forêt;91421;2562
QP091033;La Croix Blanche;91657;5299
QP091034;La Prairie De L'Oly;9142191657;3277
QP091035;Quartier Sud;91021;904
QP091036;Le Tiec;91207;1495
QP091037;Plateau De Guinette;91223;2599
QP091038;La Croix  De Vernailles;91223;1587
QP091039;Opéra;91377;3726
QP092001;Bac D'Asnières - Beaujon;92024;2525
QP092002;Université I;92050;1692
QP092003;Université II;92050;3344
QP092004;Noyer Doré;92002;3647
QP092005;Cité Jardins;92019;5660
QP092006;Chemin De L'île;92050;5156
QP092007;Le Parc;92050;13535
QP092008;Abbé Grégoire - Mirabeau;92007;1789
QP092009;Tertres-Cuverons;92007;1886
QP092010;Les Courtilles;92036;4438
QP092011;Fossés Jean;92025;6512
QP092012;Hauts d'Asnières;92004;6872
QP092013;Agnettes;9200492036;8688
QP092014;Entrée De Ville;92024;2881
QP092015;Petit Colombes;92025;8217
QP092016;Petit Nanterre;92050;6924
QP092017;Grésillons Voltaire I - Gabriel Péri;9200492036;2564
QP092018;Grésillons Voltaire II - Grésillons;9200492036;2422
QP092019;AIRE 2029;92078;11729
QP092020;Cité Des Musiciens;92007;1557
QP092021;Les Musiciens;92025;1100
QP093001;Secteur Gare - Aviatic;93013;1687
QP093002;Secteur Saint-Nicolas - Guynemer - Gai Logis;93013;2282
QP093003;Haut Clichy - Centre Ville - Bosquets - Lucien Noel;9301493047;29428
QP093004;Quartier Avenir Parisien;93029;3590
QP093005;Quartiers La Muette - Village Parisien;9300893029;3962
QP093006;Quartiers Economie - Les Oiseaux;9300793029;1143
QP093007;Thorez - Larivière - Langevin - Moulin - Allende;93030;3949
QP093008;La Capsulerie;93006;2457
QP093009;Le Plateau - Les Malassis - La Noue;9300693048;15461
QP093010;Les Courtillières - Pont-De-Pierre;930019300893055;8539
QP093011;Quartier Salengro - Gaston Roulaud - Centre Ville;9300893029;25853
QP093012;Blanqui;93010;3766
QP093013;Marnaudes - Fosse Aux Bergers - La Sablière;9301093077;3829
QP093014;Abreuvoir - Bondy Nord - Bondy Centre - Pont-De-Bondy - La Sablière - Secteur Sud;93007930089301093053;29831
QP093015;Trois Communes - Fabien;930489305393063;7148
QP093016;Branly - Boissière;93048;3734
QP093017;Boissière - Saussaie-Beauclair;93064;3455
QP093018;Bel Air - Grands Pêchers - Ruffins - Le Morillon;93048;13389
QP093019;Jean Moulin - Espoir;93048;3768
QP093020;Béthisy;93053;3231
QP093021;Le Londeau;93053;5049
QP093022;La Boissière;93053;1897
QP093023;Sept Arpents - Stalingrad;9305593061;6185
QP093024;Quatre Chemins;93055;9327
QP093025;Marcel Cachin;93063;2001
QP093026;Quartier de L'Horloge;93063;2223
QP093027;Gagarine;93063;1827
QP093028;Franc Moisin - Cosmonautes - Cristino Garcia - Landy;930019302793066;114891
QP093029;Centre Ville;93031;7306
QP093030;Orgemont;93031;10654
QP093031;La Source - Les Presles;93031;11390
QP093032;Thorez-Géraux;93039;1450
QP093033;Méchin - Bocage;93039;2636
QP093034;Paul-Cachin;93039;1484
QP093035;Centre Ville - Chatenay - Maroc - Poètes;9305993072;9998
QP093036;Joncherolles - Fauvettes;93059;2093
QP093037;Plaine - Landy - Bailly;93066;4498
QP093038;Pleyel;93066;2196
QP093039;Grand Centre - Sémard;93066;40243
QP093040;Floréal Saussaie Allende;9306693072;7367
QP093041;Plaine Trezel - Chaudron;93066;2207
QP093042;Saint-Rémy - Joliot Curie - Bel Air;93066;7024
QP093043;Langevin - Lavoisier - Tartres - Allende;9305993066;9607
QP093044;Cordon;93070;2021
QP093045;Michelet - Les Puces - Debain;93070;8351
QP093046;Vieux Saint-Ouen;93070;3065
QP093047;Pasteur - Arago - Zola;93070;3638
QP093048;Centre Elargi;93072;18454
QP093049;Quartier Politique De La Ville;93079;9250
QP093050;Rougemont;93071;5689
QP093051;Montceleux - Pont Blanc;93071;6901
QP093052;Parc De La Noue - Picasso - Pasteur - Europe - Merisiers;93078;9587
QP093053;Tremblay Grand Ensemble;93073;7297
QP093054;Les Beaudottes;9300593071;45563
QP093055;Secteur Nord Pont-Yblon;9300793030;16093
QP093056;Jean Moulin - Jean Bouin;93032;4760
QP093057;Les Peupliers;93032;1785
QP093058;Val Coteau;93050;7157
QP093059;Mont d'Est - Palacio;93051;1733
QP093060;Pavé-Neuf;93051;7376
QP093061;Champy - Hauts Bâtons;93051;3976
QP093062;Pré-Gentil;93064;3641
QP093063;Marnaudes - Bois-Perrier;93064;1662
QP094001;Pierre Et Marie Curie;94041;1382
QP094002;Irlandais - Paul Vaillant Couturier - Cherchefeuille;94003;1708
QP094003;La Haie Griselle - La Hêtraie;9400494044;5301
QP094004;Chantereine;94002;3346
QP094005;Mont Mesly - La Habette - Coteaux Du Sud;94028;7138
QP094006;Petit Pré - Sablières;94028;1149
QP094007;Les Bleuets;94028;1032
QP094008;Gagarine;94041;2758
QP094009;Ivry Port;94041;5079
QP094010;Monmousseau;94041;1620
QP094011;Colonel Fabien;94081;1065
QP094012;Centre Ville : Defresne - Vilmorin - Robespierre;94081;3680
QP094013;Commune De Paris - 8 Mai 1945;94081;11009
QP094014;Balzac;94081;1999
QP094015;Péri - Schuman  Bergonié;9403794043;1979
QP094016;Chaperon Vert;9400394037;2390
QP094017;Jardins Parisiens;94038;1716
QP094018;Lallier;94038;1491
QP094019;Jardins Parisiens - Stade;94038;867
QP094020;Alexandre Dumas;94076;1207
QP094021;Lebon - Hochart - Mermoz (Lozaits Sud);9403894076;3066
QP094022;Lozaits Nord - Grimau - Armand Gouret;94076;1979
QP094023;Fabien;94011;1475
QP094024;Les Quatre Cités;94017;4001
QP094025;L'Egalité;94017;479
QP094026;Les Mordacs;94017;4838
QP094027;Le Bois L'Abbé;9401794019;12303
QP094028;Le Plateau;94017;1890
QP094029;La Redoute (Le Fort-Michelet);94033;1563
QP094030;Les Larris;94033;2378
QP094031;Quartier Est;94054;7181
QP094032;Quartier Sud;94022;2655
QP094033;Rives De La Marne;94068;1577
QP094034;Les Grands Champs;94073;2425
QP094035;Polognes-Centre Ville - Le Plateau - Saint-Martin;940449407494078;10107
QP094036;Lutèce- Bergerie;94074;2317
QP094037;Centre Ville;94078;3041
QP094038;Le Quartier Nord;94078;7065
QP094039;Le Quartier Nord- Les Tours;94078;1914
QP094040;Triage;94078;1683
QP094041;Portes De Paris - Les Hautes-Noues;94079;5794
QP094042;Cité Jardins;94016;2259
QP095001;Noyer Crapaud;95598;1477
QP095002;Justice - Butte Blanche;9501895063;765
QP095003;Champioux;95018;1732
QP095004;Brigadières - Henri Barbusse;9501895063;2175
QP095005;Val D'Argent Nord;95018;14127
QP095006;Val D'Argent Sud;95018;9258
QP095007;Champagne;95018;1240
QP095008;Joliot Curie;95018;2763
QP095009;Centre Ville;95018;4448
QP095010;Delaune Masson Colomb;95063;1486
QP095011;Axe Majeur - Horloge;95127;9076
QP095012;La Sébille;95127;1147
QP095013;Les Dix Arpents;95218;1740
QP095014;Le Moulinard;95476;2107
QP095015;Marcouville;95500;3211
QP095016;Louvrais;95500;2408
QP095017;Chennevières - Parc Le Nôtre;95572;3136
QP095018;Clos Du Roi;95572;1099
QP095019;Les Toupets - Côte Des Carrières;9532395637;1489
QP095020;Les Lévriers;95427;1420
